"","Year","Month","Province","ah_mean","rh_mean","t2m_mean","tp_mean","extremeTP","extremeHeat","spi"
"113",2003,2,"Pattani",25.91444782,0.774162878,299.7398651,3.55e-05,0,0,-0.118177213727123
"114",2003,2,"Phangnga",28.22708512,0.697471704,301.2127221,1.9e-05,0,0,-0.202958450813279
"115",2003,2,"Phatthalung",25.69213394,0.803033541,299.6277316,5.97e-05,0,0,0.118854849235871
"116",2003,2,"Phayao",21.37358083,0.699337601,295.9110159,1.05e-05,0,0,0.227938044789832
"117",2003,2,"Phetchabun",24.85803964,0.699314757,298.5980927,3.74e-05,0,0,0.631427886718731
"118",2003,2,"Phetchaburi",25.52540359,0.702719436,299.2934831,1.34e-05,0,0,-0.202738156226261
"119",2003,2,"Phichit",27.17523887,0.704682778,300.2020807,3.77e-05,1,0,0.731291166280402
"120",2003,2,"Phitsanulok",24.606575,0.714120048,298.3905771,3.79e-05,1,0,0.629576623873615
"121",2003,2,"Phra Nakhon Si Ayutthaya",29.31062187,0.671816549,301.6655303,4.04e-05,0,0,1.02498120816485
"122",2003,2,"Phrae",23.23047909,0.73249442,297.3180927,3.9e-05,1,0,1.31484737026925
"123",2003,2,"Phuket",27.88287443,0.73352792,301.1578973,1.56e-05,0,0,-0.515845351853668
"124",2003,2,"Prachin Buri",26.18841927,0.72082368,299.6592537,3.43e-05,0,0,0.646112963982023
"125",2003,2,"Prachuap Khiri Khan",26.1308723,0.736828074,299.7970999,2.37e-05,0,0,-0.0863642069870169
"126",2003,2,"Ranong",26.87874736,0.748408962,300.2942942,1.82e-05,0,0,-0.451404274182247
"127",2003,2,"Ratchaburi",27.00777663,0.686111535,300.2443955,1.78e-05,0,0,0.321791498316357
"128",2003,2,"Rayong",26.81036707,0.752417905,300.2625606,8.65e-05,0,0,1.17155238639296
"129",2003,2,"Roi Et",26.05045696,0.669463555,299.3911558,2.18e-05,0,0,0.828443677802903
"130",2003,2,"Sa Kaeo",26.46945988,0.706841261,299.8654842,5.61e-05,0,0,1.14821655642131
"131",2003,2,"Sakon Nakhon",24.72904385,0.686872344,298.4760057,2.72e-05,0,0,0.663117621074479
"132",2003,2,"Samut Prakan",28.37697143,0.718898871,301.2785623,3.08e-05,0,0,0.304597517691634
"133",2003,2,"Samut Sakhon",28.15666422,0.718183523,301.1609986,1.12e-05,0,0,-0.36950000673051
"134",2003,2,"Samut Songkhram",28.22467113,0.701816252,301.1782882,8.85e-06,0,0,-0.371874472654387
"135",2003,2,"Saraburi",27.67129657,0.679435046,300.6241161,3.45e-05,0,0,0.88772710206808
"136",2003,2,"Satun",27.25432897,0.724648288,300.5403669,1.43e-05,0,0,-0.753730322212996
"137",2003,2,"Si Sa Ket",26.58219029,0.660678787,299.8125418,3.47e-05,0,0,1.23569027188469
"138",2003,2,"Sing Buri",29.29381276,0.660127917,301.6148066,3.39e-05,0,0,1.02909638077168
"139",2003,2,"Songkhla",26.91003784,0.736825716,300.3422709,2.85e-05,0,0,-0.247616957942535
"140",2003,2,"Sukhothai",25.96777389,0.702134272,299.3023435,1.58e-05,0,0,0.555329897645008
"141",2003,2,"Suphan Buri",27.76124311,0.680788674,300.6525923,3.02e-05,0,3,0.621616234316853
"142",2003,2,"Surat Thani",27.41156815,0.7223448,300.5848791,1.68e-05,0,10,-0.413784006812595
"143",2003,2,"Surin",26.61066712,0.664701962,299.8304644,3.08e-05,0,0,0.939784057771407
"144",2003,2,"Tak",21.89858184,0.693011642,296.20662,1.26e-05,0,0,0.471553999244793
"145",2003,2,"Trang",27.32733639,0.731979395,300.5760106,3.03e-05,0,0,0.023238761130799
"146",2003,2,"Trat",25.68807099,0.779817604,299.5859798,9.88e-05,1,0,0.865374624861837
