"","Year","Month","Province","DF","ENCEP","INFLUENZA","MALARIA","PNEU","CHOL","TB","LEPTO","MELIOID"
"149",2003,10,"Uthai Thani",5,0,24,3,123,0,92,13,1
"150",2003,10,"Uttaradit",15,0,1,0,130,0,101,21,1
"151",2003,10,"Yala",33,0,22,8,383,0,61,37,2
"152",2003,10,"Yasothon",0,0,1,1,25,0,72,68,2
"153",2003,11,"Amnat Charoen",0,0,1,0,31,0,84,48,2
"154",2003,11,"Ang Thong",19,0,3,2,40,0,72,25,3
"155",2003,11,"Bangkok",131,0,49,5,339,0,57,16,3
"156",2003,11,"Buri Ram",6,0,33,1,287,0,37,3,3
"157",2003,11,"Chachoengsao",1,0,38,9,177,0,61,4,3
"158",2003,11,"Chai Nat",20,0,1,5,17,0,42,1,1
"159",2003,11,"Chaiyaphum",3,2,22,6,161,0,27,0,0
"160",2003,11,"Chanthaburi",13,0,47,11,85,0,51,0,4
"161",2003,11,"Chiang Mai",14,0,45,5,246,0,21,1,3
"162",2003,11,"Chiang Rai",1,0,20,12,323,0,39,0,1
"163",2003,11,"Chon Buri",5,0,23,15,47,0,29,0,0
"164",2003,11,"Chumphon",16,0,7,16,82,0,44,2,1
"165",2003,11,"Kalasin",8,0,4,8,114,0,20,1,0
"166",2003,11,"Kamphaeng Phet",40,0,15,13,94,0,28,1,0
"167",2003,11,"Kanchanaburi",16,0,17,7,110,0,22,1,0
"168",2003,11,"Khon Kaen",12,0,9,3,210,0,15,0,0
"169",2003,11,"Krabi",10,1,73,63,102,0,27,1,0
"170",2003,11,"Lampang",11,0,9,36,192,0,23,0,0
"171",2003,11,"Lamphun",5,0,15,32,113,0,28,0,0
"172",2003,11,"Loei",9,0,4,90,24,0,21,0,0
"173",2003,11,"Lop Buri",1,0,1,177,64,0,20,0,0
"174",2003,11,"Mae Hong Son",0,0,5,250,132,0,19,0,0
"175",2003,11,"Maha Sarakham",5,0,24,176,119,0,19,0,0
"176",2003,11,"Mukdahan",1,0,0,136,7,0,18,4,0
"177",2003,11,"Nakhon Nayok",13,0,2,127,10,1,21,0,0
